country, slug
Bosnia and Herzegovina, bosnia-and-herzegovina
Solomon Islands, solomon-islands
Sweden, sweden
Thailand, thailand
Croatia, croatia
Georgia, georgia
Tokelau, tokelau
Holy See (Vatican City State), holy-see-vatican-city-state
France, france
Guernsey, guernsey
Bouvet Island, bouvet-island
China, china
Djibouti, djibouti
Norway, norway
Cape Verde, cape-verde
Rwanda, rwanda
Algeria, algeria
Iraq, iraq
Saint Helena, saint-helena
Lao PDR, lao-pdr
Maldives, maldives
Montserrat, montserrat
Morocco, morocco
Viet Nam, vietnam
Guatemala, guatemala
Martinique, martinique
Mozambique, mozambique
Nicaragua, nicaragua
Togo, togo
Virgin Islands, US, virgin-islands
El Salvador, el-salvador
Heard and Mcdonald Islands, heard-and-mcdonald-islands
Barbados, barbados
Puerto Rico, puerto-rico
Svalbard and Jan Mayen Islands, svalbard-and-jan-mayen-islands
Lesotho, lesotho
Malta, malta
Aruba, aruba
Ireland, ireland
Bermuda, bermuda
Christmas Island, christmas-island
Pitcairn, pitcairn
American Samoa, american-samoa
Australia, australia
Guadeloupe, guadeloupe
British Indian Ocean Territory, british-indian-ocean-territory
British Virgin Islands, british-virgin-islands
Guinea, guinea
Marshall Islands, marshall-islands
Mongolia, mongolia
Seychelles, seychelles
Armenia, armenia
Uganda, uganda
Costa Rica, costa-rica
Madagascar, madagascar
Qatar, qatar
Tanzania, United Republic of, tanzania
Western Sahara, western-sahara
Cocos (Keeling) Islands, cocos-keeling-islands
Congo (Brazzaville), congo-brazzaville
South Georgia and the South Sandwich Islands, south-georgia-and-the-south-sandwich-islands
Zimbabwe, zimbabwe
Côte d'Ivoire, cote-divoire
Mauritius, mauritius
Moldova, moldova
US Minor Outlying Islands, us-minor-outlying-islands
Austria, austria
Comoros, comoros
Papua New Guinea, papua-new-guinea
Taiwan, Republic of China, taiwan
Antarctica, antarctica
Greece, greece
Greenland, greenland
Guyana, guyana
Norfolk Island, norfolk-island
Senegal, senegal
Tuvalu, tuvalu
Botswana, botswana
Chad, chad
Guinea-Bissau, guinea-bissau
Mayotte, mayotte
Russian Federation, russia
French Southern Territories, french-southern-territories
