country, slug
Falkland Islands (Malvinas), falkland-islands-malvinas
Haiti, haiti
Kenya, kenya
Kyrgyzstan, kyrgyzstan
Micronesia, Federated States of, micronesia
Burkina Faso, burkina-faso
Dominica, dominica
Isle of Man, isle-of-man
Sierra Leone, sierra-leone
Slovenia, slovenia
Trinidad and Tobago, trinidad-and-tobago
Cook Islands, cook-islands
Honduras, honduras
Tajikistan, tajikistan
Antigua and Barbuda, antigua-and-barbuda
Myanmar, myanmar
Kiribati, kiribati
Korea (South), korea-south
Namibia, namibia
Italy, italy
Bolivia, bolivia
Estonia, estonia
Iran, Islamic Republic of, iran
Argentina, argentina
Luxembourg, luxembourg
New Zealand, new-zealand
Romania, romania
Sao Tome and Principe, sao-tome-and-principe
Cayman Islands, cayman-islands
Germany, germany
India, india
New Caledonia, new-caledonia
Syrian Arab Republic (Syria), syria
Turkmenistan, turkmenistan
Bahrain, bahrain
Ghana, ghana
Jamaica, jamaica
Spain, spain
Canada, canada
Chile, chile
Equatorial Guinea, equatorial-guinea
Korea (North), korea-north
Northern Mariana Islands, northern-mariana-islands
Paraguay, paraguay
Zambia, zambia
Eritrea, eritrea
Gibraltar, gibraltar
Iceland, iceland
Macedonia, Republic of, macedonia
Lithuania, lithuania
Palau, palau
South Sudan, south-sudan
Kazakhstan, kazakhstan
Central African Republic, central-african-republic
Egypt, egypt
Grenada, grenada
Hungary, hungary
Netherlands Antilles, netherlands-antilles
Suriname, suriname
Bahamas, bahamas
Turks and Caicos Islands, turks-and-caicos-islands
Wallis and Futuna Islands, wallis-and-futuna-islands
Czech Republic, czech-republic
Israel, israel
United Kingdom, united-kingdom
Anguilla, anguilla
Liberia, liberia
Malawi, malawi
Uzbekistan, uzbekistan
Belize, belize
Congo (Kinshasa), congo-kinshasa
Yemen, yemen
Andorra, andorra
Benin, benin
Gambia, gambia
Turkey, turkey
United Arab Emirates, united-arab-emirates
Venezuela (Bolivarian Republic), venezuela
Gabon, gabon
San Marino, san-marino
Montenegro, montenegro
Samoa, samoa
